"component","status code","not found","skipped","accepted","total","result","count"
"Total","140","0","0","0","0","0","0"
"address","403","0","0","0","0","FALSE","0"
"addtoany","403","0","0","0","0","FALSE","0"
"admin-toolbar","403","0","0","0","0","FALSE","0"
"better-exposed-filters","403","0","0","0","0","FALSE","0"
"block-field","403","0","0","0","0","FALSE","0"
"bootstrap","403","0","0","0","0","FALSE","0"
"captcha","403","0","0","0","0","FALSE","0"
"coder","403","0","0","0","0","FALSE","0"
"config-update","403","0","0","0","0","FALSE","0"
"consumers","403","0","0","0","0","FALSE","0"
"content-lock","403","0","0","0","0","FALSE","0"
"crop","403","0","0","0","0","FALSE","0"
"csv-serialization","403","0","0","0","0","FALSE","0"
"ctools","403","0","0","0","0","FALSE","0"
"data-policy","403","0","0","0","0","FALSE","0"
"dbee","403","0","0","0","0","FALSE","0"
"devel","403","0","0","0","0","FALSE","0"
"disable-user-1-edit","403","0","0","0","0","FALSE","0"
"dynamic-entity-reference","403","0","0","0","0","FALSE","0"
"editor-advanced-link","403","0","0","0","0","FALSE","0"
"embed","403","0","0","0","0","FALSE","0"
"entity","403","0","0","0","0","FALSE","0"
"entity-reference-revisions","403","0","0","0","0","FALSE","0"
"eu-cookie-compliance","403","0","0","0","0","FALSE","0"
"exif-orientation","403","0","0","0","0","FALSE","0"
"externalauth","403","0","0","0","0","FALSE","0"
"features","403","0","0","0","0","FALSE","0"
"field-group","403","0","0","0","0","FALSE","0"
"file-mdm","403","0","0","0","0","FALSE","0"
"flag","403","0","0","0","0","FALSE","0"
"gender","403","0","0","0","0","FALSE","0"
"geocoder","403","0","0","0","0","FALSE","0"
"google-analytics","403","0","0","0","0","FALSE","0"
"google-tag","403","0","0","0","0","FALSE","0"
"group","403","0","0","0","0","FALSE","0"
"image-effects","403","0","0","0","0","FALSE","0"
"image-widget-crop","403","0","0","0","0","FALSE","0"
"inline-entity-form","403","0","0","0","0","FALSE","0"
"jsonapi","403","0","0","0","0","FALSE","0"
"key","403","0","0","0","0","FALSE","0"
"kpi-analytics","403","0","0","0","0","FALSE","0"
"language-access","403","0","0","0","0","FALSE","0"
"layout-builder-restrictions","403","0","0","0","0","FALSE","0"
"lazy","403","0","0","0","0","FALSE","0"
"like-and-dislike","403","0","0","0","0","FALSE","0"
"link-css","403","0","0","0","0","FALSE","0"
"login-tracker","403","0","0","0","0","FALSE","0"
"mailsystem","403","0","0","0","0","FALSE","0"
"message","403","0","0","0","0","FALSE","0"
"metatag","403","0","0","0","0","FALSE","0"
"openapi","403","0","0","0","0","FALSE","0"
"openapi-ui","403","0","0","0","0","FALSE","0"
"openapi-ui-redoc","403","0","0","0","0","FALSE","0"
"override-node-options","403","0","0","0","0","FALSE","0"
"paragraphs","403","0","0","0","0","FALSE","0"
"pathauto","403","0","0","0","0","FALSE","0"
"poll","403","0","0","0","0","FALSE","0"
"private-message","403","0","0","0","0","FALSE","0"
"profile","403","0","0","0","0","FALSE","0"
"r4032login","403","0","0","0","0","FALSE","0"
"real-aes","403","0","0","0","0","FALSE","0"
"recaptcha","403","0","0","0","0","FALSE","0"
"redirect","403","0","0","0","0","FALSE","0"
"redis","403","0","0","0","0","FALSE","0"
"role-delegation","403","0","0","0","0","FALSE","0"
"schemata","403","0","0","0","0","FALSE","0"
"search-api","403","0","0","0","0","FALSE","0"
"search-api-exclude-entity","403","0","0","0","0","FALSE","0"
"search-api-location","403","0","0","0","0","FALSE","0"
"shariff","403","0","0","0","0","FALSE","0"
"simple-oauth","403","0","0","0","0","FALSE","0"
"simplesamlphp-auth","403","0","0","0","0","FALSE","0"
"social-api","403","0","0","0","0","FALSE","0"
"social-auth","403","0","0","0","0","FALSE","0"
"social-course","403","0","0","0","0","FALSE","0"
"social-geolocation","403","0","0","0","0","FALSE","0"
"social-json-api","403","0","0","0","0","FALSE","0"
"social-kpi-lite","403","0","0","0","0","FALSE","0"
"socialbase","403","0","0","0","0","FALSE","0"
"socialblue","403","0","0","0","0","FALSE","0"
"swiftmailer","403","0","0","0","0","FALSE","0"
